project,sha,test time,test status,mop time,mop status,ps1c time,ps1c status,ps3cl time,ps3cl status,ctw download status,ctw compile time,ctw compile status,ctw instr time,ctw instr status,ctw mop time,ctw mop status,ctw e2e time,base rv,instr source time
alfasoftware-soapstone,11100798e0c0f2a8a84e26c7c31aa104311f0480,6938,0,109317,0,116414,0,113628,0,0,3189,0,114373,0,14208,0,131851,1,-1
alfasoftware-soapstone,f78f52ff7455e09fa03bb8cd7c071268cb0e3998,7636,0,113096,0,76265,0,13650,0,0,3116,0,4891,0,11817,0,19901,0,-1
alfasoftware-soapstone,beafa8ed339f30a3347f1b20ef112380efdc7de1,7518,0,111472,0,114236,0,113707,0,0,3488,0,186255,0,11437,0,201257,1,22712
alfasoftware-soapstone,885fcd6168ca23e93a1c24300f2ddcbda720258c,9318,0,127461,0,133113,0,135292,0,0,3992,0,79154,0,15938,0,99159,1,16173
alfasoftware-soapstone,19192deeb489ab9213136006c3a433a060a7b29e,9403,0,176081,0,173049,0,177010,0,0,3793,0,216315,0,15786,0,235970,1,8462
alfasoftware-soapstone,bc98265f6d4650822fba6865e0ae591e8477897d,10080,0,175370,0,187141,0,190704,0,0,3689,0,18269,0,17465,0,39501,1,9638
alfasoftware-soapstone,060daed5a72a0e3d95c65319fd99e3285a5b213a,9793,0,171366,0,193932,0,177810,0,0,4114,0,5344,0,17420,0,26949,1,5049
alfasoftware-soapstone,8a09e6e090f5eaf28d3f59e005eda059025b765e,9925,0,174556,0,176190,0,177322,0,0,3665,0,18904,0,16866,0,39511,1,5903
alfasoftware-soapstone,5ff3901493ae27eb4ef54ab0116dfc60a9fff421,9562,0,174919,0,109525,0,17184,0,0,3928,0,7559,0,17263,0,28825,0,7235
alfasoftware-soapstone,60bd7d5cc1b515db30258a23c4949fc9b3964648,10245,0,177140,0,177923,0,180401,0,0,3865,0,41734,0,19176,0,64851,1,15945
alfasoftware-soapstone,145a4bf7c99cf768a671e5c874bd6db7b26a3aff,10172,0,187098,0,118314,0,16885,0,0,3862,0,7507,0,17533,0,28978,0,7222
alfasoftware-soapstone,818010687799c0fd5a63fa7a21ad7db4ad7986a7,10068,0,181863,0,114825,0,18160,0,0,4057,0,8685,0,19448,0,32269,0,8387
alfasoftware-soapstone,607165f39d022e9ce36324e3abdb21c40bd64a14,9957,0,177083,0,113598,0,17236,0,0,4013,0,6881,0,18031,0,29002,0,6577
alfasoftware-soapstone,8338e163b8cd4ff83f97fdd69527768338ffa5cc,10239,0,173348,0,177231,0,180232,0,0,3835,0,7580,0,18263,0,29752,1,7277
alfasoftware-soapstone,276fe86a305d726232767bfc003d8f943b4491de,10188,0,178351,0,116401,0,16663,0,0,4036,0,7713,0,17681,0,29509,0,7425
alfasoftware-soapstone,8841e30d9c1267941f5c7a54399eb20a5b63e65d,10051,0,173304,0,114862,0,18367,0,0,3912,0,8896,0,17902,0,30787,0,8605
alfasoftware-soapstone,71328521eae87bd7c3deef00b15a1de1fa2c0628,9812,0,174372,0,114706,0,18951,0,0,4076,0,7900,0,18315,0,30369,0,7581
alfasoftware-soapstone,821d1cf9581ecc2e170ab6775b7d637c27669671,10072,0,179358,0,116384,0,17205,0,0,3972,0,7646,0,18428,0,30121,0,7350
alfasoftware-soapstone,25916d170800b4ba3946b7469317ddd7442e303a,9865,0,174261,0,114208,0,18329,0,0,3891,0,7305,0,18630,0,29901,0,7003
alfasoftware-soapstone,fb2347bd3b7bf1649b4e645b81003b611386f904,10023,0,187579,0,184976,0,185487,0,0,3836,0,7135,0,18174,0,29222,1,6825
alfasoftware-soapstone,3df0f9a226733aa3691d04e0efe971b709371aef,10118,0,180774,0,181668,0,188106,0,0,4019,0,6106,0,18177,0,28377,1,4640
alfasoftware-soapstone,b93c938a21493ec467b3263714002080d16c54b5,10339,0,175601,0,115727,0,17760,0,0,4224,0,7978,0,18009,0,30286,0,7686
alfasoftware-soapstone,ee6c557926408615ec3f0a27a7da58213c7e1866,9179,0,173602,0,109475,0,15981,0,0,3983,0,4836,0,18399,0,27292,0,4538
alfasoftware-soapstone,7b64298a18f4601d01ab3f7f4b5dfdd2b04907b6,9759,0,175204,0,116248,0,17269,0,0,4033,0,5439,0,18182,0,27730,0,5124
alfasoftware-soapstone,f2613cea6a9b6a59ea2bafcd548f7fa32e426743,9434,0,173568,0,118074,0,16634,0,0,4019,0,5514,0,18186,0,27796,0,5207
alfasoftware-soapstone,dab54735b4f8e9d74ec51ed8621b1383e0737062,10029,0,180942,0,189914,0,186566,0,0,4071,0,41572,0,18056,0,63777,1,12612
alfasoftware-soapstone,87dfdf10ec55ee20dc4ac96f3ff6a316a9a90576,9367,0,181910,0,116589,0,16716,0,0,3822,0,5365,0,17993,0,27258,0,5071
alfasoftware-soapstone,6717acc5415508ac328b8e1de4061ba88e385f6b,9821,0,172897,0,186144,0,184258,0,0,3962,0,15189,0,17961,0,37187,1,4976
alfasoftware-soapstone,7f8c8f9de13d14da317ea68795763d02b6c6e33b,9539,0,188508,0,3783,0,3838,0,0,4304,0,134,0,18231,0,22743,0,-1
alfasoftware-soapstone,0f822ae5888db3834ea1822288daabc3056313f1,9746,0,179399,0,117627,0,16672,0,0,3858,0,5301,0,19483,0,28716,0,5006
alfasoftware-soapstone,f8e1bbc50bbb67a08915fd0046e94551ac1178fd,9736,0,184064,0,118329,0,16916,0,0,3904,0,5221,0,18463,0,27665,0,4909
alfasoftware-soapstone,0a09591483a94d5d6805ffe735eff7f6fb92a410,9802,0,178789,0,179862,0,185647,0,0,3996,0,15819,0,17915,0,37806,1,5647
alfasoftware-soapstone,480e00c3384796efb1b2e69ba611d0234f6af333,10154,0,181239,0,119912,0,18458,0,0,4096,0,8442,0,18516,0,31128,0,8142
